Once/Parser/ExprRelation.agda:100.1-15	  NotDot (_ ∷ _) = ⊤	when checking the definition of NotDot
Once/Parser/ExprRelation.agda:107.1-15	  NotAdd (_ ∷ _) = ⊤	when checking the definition of NotAdd
Once/Parser/ExprRelation.agda:115.1-15	  NotMul (_ ∷ _) = ⊤	when checking the definition of NotMul
Once/Parser/ExprRelation.agda:126.1-15	  NotCmp (_ ∷ _) = ⊤	when checking the definition of NotCmp
Once/Parser/Lexer.agda:148.1-24	  collectStringB (c ∷ cs)	when checking the definition of collectStringB
Once/Parser/Lexer.agda:241.1-295.31	  tokenize-WF ('\n' ∷ cs) (acc rec)	when checking the definition of tokenize-WF
Once/Parser/Module.agda:49.1-30	  ... | just (ty , rest' , bnd)	when checking the definition of Once.Parser.Module.with-104
Once/Parser/Module.agda:52.1-49	  parseDeclB (TWord w ∷ rest) | no _ | no _ | no _	when checking the definition of Once.Parser.Module.with-74
Once/Parser/Module.agda:57.1-13	  parseDeclB _ = nothing	when checking the definition of parseDeclB
Once/Parser/Module/Alloc.agda:27.1-14	  parseAllocB _ = nothing	when checking the definition of parseAllocB
Once/Parser/Module/Core.agda:120.1-11	  anyWordB _ = nothing	when checking the definition of anyWordB
Once/Parser/Module/DeclTail.agda:31.1-19	  goTypeAliasB _ _ _ = nothing	when checking the definition of goTypeAliasB
Once/Parser/Module/DeclTail.agda:53.1-40	  parseSignatureB toks | just (_ , _ , _) = nothing	when checking the definition of
Once/Parser/Module/FunDef/Body.agda:26.1-22	  parseFunBodyB _ _ _ _ = nothing	when checking the definition of parseFunBodyB
Once/Parser/Module/FunDef/OpDecl.agda:27.1-26	  tryOpDeclAfterB name toks	when checking the definition of tryOpDeclAfterB
Once/Parser/Module/FunDef/Params.agda:34.1-18	  parseParamsB toks = [] , toks , ≤-refl	when checking the definition of parseParamsB
Once/Parser/Module/Import.agda:27.1-62	  parseModulePath-WFB toks (acc rec) | just (name , rest , bnd)	when checking the definition of Once.Parser.Module.Import.with-16
Once/Parser/Module/Import.agda:50.1-28	  parseImportAliasB path toks	when checking the definition of parseImportAliasB
Once/Parser/Module/OpName.agda:58.1-18	  parseOpCharsB _ _ = nothing	when checking the definition of parseOpCharsB
Once/Parser/Module/OpName.agda:71.1-21	  parseOperatorNameB _ = nothing	when checking the definition of parseOperatorNameB
Once/Parser/Module/Resolve.agda:105.5-22	  showPath (x ∷ xs) = x ++ "." ++ showPath xs	when checking the definition of showPath
Once/Parser/Module/Resolve.agda:110.1-31	  resolveDecls modMap (d ∷ rest)	when checking the definition of resolveDecls
Once/Parser/Module/Resolve.agda:82.1-37	  signaturesWithOwner owner (_ ∷ rest)	when checking the definition of signaturesWithOwner
Once/Parser/PolyType.agda:105.1-26	  parsePolyArrowTail A toks = just (A , toks)	when checking the definition of parsePolyArrowTail
Once/Parser/PolyType.agda:115.1-24	  parsePolySumTail A toks = just (A , toks)	when checking the definition of parsePolySumTail
Once/Parser/PolyType.agda:125.1-25	  parsePolyProdTail A toks = just (A , toks)	when checking the definition of parsePolyProdTail
Once/Parser/PolyType.agda:164.1-13	  ... | just _ = nothing	when checking the definition of Once.Parser.PolyType.with-382
Once/Parser/Type.agda:428.1-430.48	  parseArrowTailWF left (TCaret1 ∷ _) _ = nothing	when checking the definition of parseArrowTailWF
Once/Parser/TypeRelation.agda:42.1-16	  NotStar (_ ∷ _) = ⊤	when checking the definition of NotStar
Once/Parser/TypeRelation.agda:50.1-20	  NotStarPlus (_ ∷ _) = ⊤	when checking the definition of NotStarPlus
Once/Parser/TypeRelation.agda:61.1-24	  NotArrowOrGrade (_ ∷ _) = ⊤	when checking the definition of NotArrowOrGrade
Once/Parser/TypeRelation.agda:74.1-16	  NotCont (_ ∷ _) = ⊤	when checking the definition of NotCont
Once/Type.agda:114.1-11	  _ ≤q _ = false	when checking the definition of _≤q_
Once/Type.agda:185.1-23	  ... | _ | no ¬p = no (λ { refl → ¬p refl })	when checking the definition of Once.Type.with-88
Once/Type.agda:511.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-456
Once/Type.agda:514.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-476
Once/Type.agda:521.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-496
Once/Type.agda:524.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-516
Once/Type.agda:527.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-536
Once/Type.agda:530.3-20	  ... | _ | _ = inj₂ tt	when checking the definition of Once.Type.with-556
Once/Type.agda:583.1-22	  quantityEqBool _ _ = false	when checking the definition of quantityEqBool
Once/Type.agda:588.1-20	  purityEqBool _ _ = false	when checking the definition of purityEqBool
Once/Type.agda:604.3-17	  typeEqBool _ _ = false	when checking the definition of typeEqBool
Once/Type.agda:611.3-20	  functorEqBool _ _ = false	when checking the definition of functorEqBool
Once/Type.agda:62.1-64.13	  _ *q Zero = Zero	when checking the definition of _*q_
Once/Type.agda:681.3-23	  instantiateAcc _ _ _ = nothing	when checking the definition of instantiateAcc
Once/Type.agda:692.3-27	  instantiateFunctor _ _ _ = nothing	when checking the definition of instantiateFunctor
Once/Type.agda:709.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1096
Once/Type.agda:712.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1122
Once/Type.agda:715.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1150
Once/Type.agda:718.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1180
Once/Type.agda:733.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1260
Once/Type.agda:736.3-19	  ... | _ | _ = nothing	when checking the definition of Once.Type.with-1286
Once/Type.agda:752.1-24	  schemaArrowCodomain _ _ = nothing	when checking the definition of schemaArrowCodomain
